Farm,Date Sampled,Site,Rep,Plot,Start ,T_Air,T_5cm,T_10cm,AVG_Moist,AVG_Depth,umol_CO2 T0,umol_CO2 T5,umol_CO2 T10,umol_CO2 T15,umol_CO2 T20,ppm_N2O T0,ppm_N2O T5,ppm_N2O T10,ppm_N2O T15,ppm_N2O T20
FRF,5/20/2016,GRAZ,1,A,10:30,18.4,23.5,16.3,23.5,16.02,196.3255254,324.2797434,469.1223907,506.4616077,683.5022761,1715.304217,1869.51345,1745.940368,1807.337334,1764.234794
FRF,5/26/2016,GRAZ,1,A,13:17,28.9,27.1,20.8,22.63,14.7,212.5689661,355.4013347,579.2088626,775.417039,854.0350062,1704.115602,2074.353807,1854.73161,1821.496724,1861.477952
FRF,6/3/2016,GRAZ,1,A,14:53,24,23.7,21.4,17.2,15.6,236.1127824,375.6518941,554.0714093,667.2022366,831.4637615,1689.310206,1754.308507,1775.913917,1783.469742,1810.476506
FRF,6/9/2016,GRAZ,1,A,8:55,13.8,16.5,16.1,22.63,14.29,123.258401,153.7191065,251.2125765,339.3423186,380.328641,1871.085495,1896.230423,1902.334537,1876.875611,1879.927668
FRF,6/17/2016,GRAZ,1,A,11:13,19.9,19.6,17.1,14.9,15.12,141.0452278,207.8338321,275.0209608,400.6992112,461.4486378,1763.04166,1767.055073,1764.636735,1766.154628,1958.785551
FRF,6/23/2016,GRAZ,1,A,10:38,21.1,19.1,16.7,10.37,16.04,165.19388,189.7396022,242.9129656,275.1563304,327.9502325,1893.849278,1901.008548,1980.562352,1923.545929,1918.935359
FRF,6/30/2016,GRAZ,1,A,10:44,20.9,20.8,19.5,9.27,15.28,111.4339486,230.5469503,298.5449378,347.3812685,412.0181978,1571.754564,1577.770066,1633.431868,1602.666876,1608.977014
FRF,7/6/2016,GRAZ,1,A,8:41,23.8,20.6,20.6,5.97,15.53,120.4095905,154.8254263,209.6579787,215.840656,281.1218263,1601.965044,1595.599282,1603.06345,1615.395554,1647.349183
FRF,7/15/2016,GRAZ,1,A,10:19,24.7,24.9,23.5,9.67,15.54,,205.0075552,258.8069513,340.6346862,479.1618324,1802.272622,1865.914098,1800.558034,1792.287668,1808.248466
FRF,7/21/2016,GRAZ,1,A,8:39,16.8,17.3,18.2,8.23,15.51,141.9154216,166.6032059,225.0399947,263.8140305,309.4671775,804.3832321,818.4481285,821.8494433,816.5176525,803.1881755
FRF,7/28/2016,GRAZ,1,A,10:35,29,26.1,23.4,6.23,14.86,121.4204067,133.6318937,163.2909641,199.3153062,213.238769,630.8138531,622.9896783,626.514856,639.5408173,647.1500423
FRF,8/3/2016,GRAZ,1,A,10:58,21.1,24.5,21.3,22.6,15.42,118.0857704,237.088163,284.0996311,399.7171105,473.3868207,629.2300578,667.2785989,702.4960197,741.1022058,769.5849919
FRF,8/13/2016,GRAZ,1,A,8:14,24.5,24.4,24.6,18.43,15.59,148.2601127,249.942621,349.2735497,500.9970499,573.5541573,207.9394312,128.0946226,162.2439341,180.7863254,207.4012615
