Farm,Year,Mgmt,Field,MF,Plot,Subsample,Depth Fraction,Core_Length,Lab,Tot_Wt,Plant_Wt,Rock_Wt,BD_pre,BD
ORG,2016,G,1,G1,C,1,15,14,ORG-G-1-C-1-15,0.85,248.37,1.8,0.528741105,0.53
ORG,2016,G,1,G1,B,3,15,15,ORG-G-1-B-3-15,1.3,330.98,227.99,0.609659659,0.61
ORG,2016,G,1,G1,B,4,15,15,ORG-G-1-B-4-15,1.15,316.52,20.96,0.668475859,0.67
FRF,2016,G,1,G1,C,2,15,15,FRF-G-1-C-2-15,1.1,206.13,53.74,0.69,0.69
ORG,2016,G,1,G1,C,4,15,15,ORG-G-1-C-4-15,1.13,225.81,48.65,0.703869242,0.7
ORG,2016,H,3,H3,C,4,15,15,ORG-H-3-C-4-15,1.03,132.46,30.13,0.71363492,0.71
WNF,2016,G,1,G1,A,4,15,15,WNF-G-1-A-4-15,1.34,181.95,282.47,0.72,0.72
WNF,2016,H,3,H3,B,4,15,15,WNF-H-3-B-4-15,1.11,173.56,0,0.77,0.77
ORG,2016,G,1,G1,A,2,15,15,ORG-G-1-A-2-15,1.09,138.09,6.01,0.778210155,0.78
ORG,2016,G,1,G1,B,5,15,15,ORG-G-1-B-5-15,1.14,146.96,46.54,0.778703787,0.78
ORG,2016,G,1,G1,A,3,15,15,ORG-G-1-A-3-15,1.16,159.73,38.18,0.79152998,0.79
WNF,2016,G,1,G1,B,1,15,15,WNF-G-1-B-1-15,1.27,268.34,20.16,0.81,0.81
FRF,2016,G,1,G1,B,2,15,15,FRF-G-1-B-2-15,1.15,139.6,22.86,0.81,0.81
ORG,2016,G,1,G1,B,2,15,15,ORG-G-1-B-2-15,1.3,277.35,25.98,0.819979612,0.82
ORG,2016,G,1,G1,B,1,15,15,ORG-G-1-B-1-15,1.08,75.16,0,0.826701229,0.83
FRF,2016,H,4,H4,C,5,15,15,FRF-H-4-C-5-15,1.08,57.1,6.94,0.84,0.84
WNF,2016,H,4,H4,B,4,15,15,WNF-H-4-B-4-15,1.22,201.38,1.24,0.84,0.84
WNF,2016,H,4,H4,C,4,15,15,WNF-H-4-C-4-15,1.36,329.72,0,0.85,0.85
WNF,2016,H,3,H3,A,3,15,15,WNF-H-3-A-3-15,1.38,341.33,0,0.85,0.85
FRF,2016,G,1,G1,C,3,15,15,FRF-G-1-C-3-15,1.28,198.43,40.99,0.86,0.86
ORG,2016,G,2,G2,A,4,15,15,ORG-G-2-A-4-15,1.29,132.58,116.06,0.856746936,0.86
ORG,2016,G,1,G1,C,2,15,15,ORG-G-1-C-2-15,1.27,222.41,5.88,0.857034888,0.86
WNF,2016,H,4,H4,B,1,15,15,WNF-H-4-B-1-15,1.33,286.96,0,0.86,0.86
ORG,2016,G,1,G1,C,3,15,15,ORG-G-1-C-3-15,1.17,105.49,19.04,0.860128313,0.86
WNF,2016,G,2,G2,A,2,15,15,WNF-G-2-A-2-15,1.28,226.61,6.65,0.86,0.86
FRF,2016,G,2,G2,C,5,15,15,FRF-G-2-C-5-15,1.21,138.32,24.67,0.86,0.86
ORG,2016,G,1,G1,A,5,15,14,ORG-G-1-A-5-15,1.22,211.92,30.86,0.861404703,0.86
WNF,2016,G,2,G2,B,1,15,15,WNF-G-2-B-1-15,1.23,180.62,0,0.86,0.86
WNF,2016,G,1,G1,B,4,15,15,WNF-G-1-B-4-15,1.4,348.35,0,0.87,0.87
FRF,2016,G,1,G1,C,5,15,15,FRF-G-1-C-5-15,1.16,89.79,14.16,0.87,0.87
ORG,2016,H,4,H4,B,2,15,15,ORG-H-4-B-2-15,1.13,33.95,27.22,0.879347035,0.88
WNF,2016,G,2,G2,C,3,15,15,WNF-G-2-C-3-15,1.2,125.38,2.82,0.88,0.88
WNF,2016,G,2,G2,A,3,15,15,WNF-G-2-A-3-15,1.26,176.04,0,0.89,0.89
WNF,2016,G,1,G1,A,1,15,15,WNF-G-1-A-1-15,1.26,173.32,0.99,0.89,0.89
FRF,2016,G,1,G1,B,5,15,15,FRF-G-1-B-5-15,1.51,70.85,351.9,0.89,0.89
ORG,2016,H,3,H3,B,3,15,15,ORG-H-3-B-3-15,1.44,102.6,250.07,0.894567341,0.89
WNF,2016,H,4,H4,C,3,15,15,WNF-H-4-C-3-15,1.27,177.88,0,0.9,0.9
ORG,2016,G,2,G2,A,2,15,16,ORG-G-2-A-2-15,1.38,4.43,208.42,0.900221994,0.9
WNF,2016,G,2,G2,A,5,15,15,WNF-G-2-A-5-15,1.3,199.81,3.7,0.9,0.9
ORG,2016,G,2,G2,B,2,15,15,ORG-G-2-B-2-15,1.42,105.68,212.49,0.906496771,0.91
WNF,2016,G,1,G1,C,1,15,15,WNF-G-1-C-1-15,1.4,298.08,0,0.91,0.91
