"Farm","Field","Trt","Rep","Date.Sampled","Date.Processed","totdry","totdry_2","kgha","kgcha"
"FRF",1,"Graze","A","5/25/2017","8/10/2017",37.63,37.63,37630,16933.5
"FRF",1,"Graze","A","6/1/2017","7/5/2017",19.55,19.55,19550,8797.5
"FRF",1,"Graze","A","6/8/2017","7/5/2017",15.18,15.18,15180,6831
"FRF",1,"Graze","A","6/13/2017","7/5/2017",9.25,9.25,9250,4162.5
"FRF",1,"Graze","A","6/23/2017","7/5/2017",16.37,16.37,16370,7366.5
"FRF",1,"Graze","A","6/27/2017","7/5/2017",11.12,11.12,11120,5004
"FRF",1,"Graze","A","7/6/2017","1/8/2018",7.36,7.36,7360,3312
"FRF",1,"Graze","A","7/11/2017","1/8/2018",10.22,10.22,10220,4599
"FRF",1,"Graze","A","7/20/2017","1/8/2018",5.21,5.21,5210,2344.5
"FRF",1,"Graze","A","7/26/2017","1/8/2018",7.68,7.68,7680,3456
"FRF",1,"Graze","A","8/1/2017","1/8/2018",3.75,3.75,3750,1687.5
"FRF",1,"Graze","A","8/9/2017","1/8/2018",3.75,3.75,3750,1687.5
"FRF",1,"Graze","A","8/17/2017","1/8/2018",5.75,5.75,5750,2587.5
"FRF",1,"Graze","A","8/23/2017","1/9/2018",6.19,6.19,6190,2785.5
"FRF",1,"Graze","A","9/7/2017","1/9/2018",4.05,4.05,4050,1822.5
"FRF",1,"Graze","A","9/13/2017","1/9/2018",2.93,2.93,2930,1318.5
"FRF",1,"Graze","A","9/21/2017","",NA,2.565,2565,1154.25
"FRF",1,"Graze","A","10/6/2017","1/9/2018",2.2,2.2,2200,990
"FRF",1,"Graze","A","10/13/2017","1/9/2018",5.01,5.01,5010,2254.5
"FRF",1,"Graze","B","5/25/2017","8/10/2017",23.88,23.88,23880,10746
"FRF",1,"Graze","B","6/1/2017","7/5/2017",9.71,9.71,9710,4369.5
"FRF",1,"Graze","B","6/8/2017","7/5/2017",11.43,11.43,11430,5143.5
"FRF",1,"Graze","B","6/13/2017","7/5/2017",6.52,6.52,6520,2934
"FRF",1,"Graze","B","6/23/2017","7/5/2017",7.96,7.96,7960,3582
"FRF",1,"Graze","B","6/27/2017","7/5/2017",3.87,3.87,3870,1741.5
"FRF",1,"Graze","B","7/6/2017","1/8/2018",5.74,5.74,5740,2583
"FRF",1,"Graze","B","7/11/2017","1/8/2018",9.39,9.39,9390,4225.5
"FRF",1,"Graze","B","7/20/2017","1/8/2018",3.95,3.95,3950,1777.5
"FRF",1,"Graze","B","7/26/2017","1/8/2018",6.24,6.24,6240,2808
"FRF",1,"Graze","B","8/1/2017","1/8/2018",3.19,3.19,3190,1435.5
"FRF",1,"Graze","B","8/9/2017","1/8/2018",3.19,3.19,3190,1435.5
"FRF",1,"Graze","B","8/17/2017","1/8/2018",6.39,6.39,6390,2875.5
"FRF",1,"Graze","B","8/23/2017","1/9/2018",2.8,2.8,2800,1260
"FRF",1,"Graze","B","9/7/2017","1/9/2018",2.3,2.3,2300,1035
"FRF",1,"Graze","B","9/13/2017","1/9/2018",0.95,0.95,950,427.5
"FRF",1,"Graze","B","9/21/2017","",NA,3.545,3545,1595.25
"FRF",1,"Graze","B","10/6/2017","1/9/2018",6.14,6.14,6140,2763
"FRF",1,"Graze","B","10/13/2017","1/9/2018",3.02,3.02,3020,1359
"FRF",1,"Graze","C","5/25/2017","8/10/2017",22.73,22.73,22730,10228.5
"FRF",1,"Graze","C","6/1/2017","7/5/2017",4.95,4.95,4950,2227.5
"FRF",1,"Graze","C","6/8/2017","7/5/2017",7.83,7.83,7830,3523.5
"FRF",1,"Graze","C","6/13/2017","7/5/2017",5.15,5.15,5150,2317.5
"FRF",1,"Graze","C","6/23/2017","7/5/2017",3.65,3.65,3650,1642.5
"FRF",1,"Graze","C","6/27/2017","7/5/2017",1.52,1.52,1520,684
"FRF",1,"Graze","C","7/6/2017","1/8/2018",3.85,3.85,3850,1732.5
"FRF",1,"Graze","C","7/11/2017","1/8/2018",2.27,2.27,2270,1021.5
"FRF",1,"Graze","C","7/20/2017","1/8/2018",6.08,6.08,6080,2736
"FRF",1,"Graze","C","7/26/2017","1/8/2018",2.48,2.48,2480,1116
"FRF",1,"Graze","C","8/1/2017","1/8/2018",3.75,3.75,3750,1687.5
"FRF",1,"Graze","C","8/9/2017","1/8/2018",3.75,3.75,3750,1687.5
"FRF",1,"Graze","C","8/17/2017","1/8/2018",3.3,3.3,3300,1485
"FRF",1,"Graze","C","8/23/2017","1/9/2018",4.03,4.03,4030,1813.5
"FRF",1,"Graze","C","9/7/2017","1/9/2018",NA,2.505,2505,1127.25
"FRF",1,"Graze","C","9/13/2017","1/9/2018",0.98,0.98,980,441
"FRF",1,"Graze","C","9/21/2017","",NA,2.815,2815,1266.75
"FRF",1,"Graze","C","10/6/2017","1/9/2018",4.65,4.65,4650,2092.5
"FRF",1,"Graze","C","10/13/2017","1/9/2018",3.65,3.65,3650,1642.5
"FRF",2,"Graze","A","6/1/2017","7/5/2017",15.69,15.69,15690,7060.5
"FRF",2,"Graze","A","6/8/2017","7/5/2017",2.33,2.33,2330,1048.5
"FRF",2,"Graze","A","6/13/2017","7/5/2017",6.47,6.47,6470,2911.5
"FRF",2,"Graze","A","6/23/2017","7/5/2017",16.67,16.67,16670,7501.5
"FRF",2,"Graze","A","6/27/2017","1/8/2018",12.1,12.1,12100,5445
"FRF",2,"Graze","A","7/6/2017","1/8/2018",12.74,12.74,12740,5733
"FRF",2,"Graze","A","7/11/2017","1/8/2018",1.69,1.69,1690,760.5
"FRF",2,"Graze","A","7/20/2017","1/8/2018",4.8,4.8,4800,2160
"FRF",2,"Graze","A","7/26/2017","1/8/2018",1.3,1.3,1300,585
"FRF",2,"Graze","A","8/1/2017","1/8/2018",2.77,2.77,2770,1246.5
"FRF",2,"Graze","A","8/9/2017","1/8/2018",2.77,2.77,2770,1246.5
"FRF",2,"Graze","A","8/17/2017","1/8/2018",0.5,0.5,500,225
"FRF",2,"Graze","A","8/23/2017","1/9/2018",3.26,3.26,3260,1467
