Farm,Field,Treatment,Plot,Field.ID,CBH,BG,NAG,LAP,NH4,NO3,C flux,N flux,Net N Enz,Net NO3,Net C Enz
FRF,G1,Graze,A,1,97.34045,313.692,33.393,73.127,0.47300045,0.68785565,24833.85765,5.496359858,3.175303689,-5.8499225,1.708673954
FRF,G1,Graze,B,1,97.3403,380.036,60.086,77.666,0.68529785,0.18524795,21843.2266,6.639034245,3.170917645,1.4044525,1.637297066
FRF,G1,Graze,C,1,80.8877,283.5125,38.0405,76.319,0.60216935,0.43207565,25267.58554,7.157099163,3.478543327,-0.559065,1.888832307
FRF,G2,Graze,A,2,1566.5175,21366.0715,455.04,141.0154,0.23256725,12.6678125,26476.51191,5.535931133,3.668270347,1.9267675,1.166369031
FRF,G2,Graze,B,2,2143.581,26511.578,423.75,152.5944,2.44506425,5.99841875,26994.04395,5.069038604,3.330163428,-0.15282,1.270974649
FRF,G2,Graze,C,2,1660.23,21144.03,253.6225,148.4146,1.4865287,8.23754375,28305.74583,10.0252535,3.160061868,-2.532255,1.822530093
FRF,H3,Hay,A,1,86.61025,276.007,25.6,76.1695,0.7524401,-0.051988,23181.95886,12.62078929,3.063793056,-4.273305,1.584688012
FRF,H3,Hay,B,1,112.36255,266.964,43.6145,75.718,0.65844095,-0.051988,26545.91882,4.431365679,2.90209932,-1.4779525,2.093331076
FRF,H3,Hay,C,1,127.3847,372.8855,71.461,76.884,0.5554895,0.0643919,26599.91171,5.724876046,3.30208187,-1.6714025,1.988617846
FRF,H4,Hay,A,2,1675.8995,20361.1265,252.0165,173.3467,0.38987195,6.80876875,25516.67413,18.69050999,-0.00826523,-7.4555575,2.076796116
FRF,H4,Hay,B,2,1593.9525,19583.4845,414.9095,132.39735,2.21230445,8.01363125,27673.30112,3.075876177,2.855923839,-0.0270775,2.191230141
FRF,H4,Hay,C,2,2294.8785,19325.1805,421.132,194.3487,0.6398969,10.33805625,25104.89761,6.725635715,3.034542173,-5.2502275,1.784156344
ORG,G1,Graze,A,1,383.7175,748.74,539.3465,505.292,0.49175165,1.303806,17551.96099,17.98279218,-1.644859851,8.26218,-1.455135163
ORG,G1,Graze,B,1,660.322,642.418,549.6745,397.493,0.6942938,1.120962,15709.34657,12.03271171,-1.526769731,8.771971,-1.424366369
ORG,G1,Graze,C,1,257.168,631.3605,597.064,397.958,2.42545595,1.523896,15781.95675,15.47708933,-1.37354037,8.760732,-1.210243899
ORG,G2,Graze,A,2,109.6825,113.801,120.649,103.3175,7.9079804,7.38501825,12537.71216,11.51706531,-0.806815346,3.9002445,-1.235371319
ORG,G2,Graze,B,2,110.215,117.8005,132.217,103.499,5.25383145,7.3113665,14933.37318,8.682275426,-0.53115105,3.608838,-1.547434821
ORG,G2,Graze,C,2,110.9925,119.313,137.334,103.577,3.26214885,8.03187275,17349.63091,15.56973526,-1.061864502,4.2552215,-0.956284598
ORG,H3,Hay,A,1,440.082,914.9365,800.5945,490.945,0.5108594,1.848952,18275.82333,19.73386521,-1.424049782,4.9518955,-1.316758893
ORG,H3,Hay,B,1,399.969,855.153,849.108,513.663,0.44844075,1.869268,16311.08169,58.55681454,-1.588228516,5.051267,-1.321141374
ORG,H3,Hay,C,1,342.763,911.0485,758.8555,628.228,0.4064037,1.848952,14893.58174,12.06481466,-1.526242275,6.955505,-1.360928699
ORG,H4,Hay,A,2,114.0275,114.219,112.84,106.021,0.25612635,5.25231975,15194.33779,12.60905103,-1.598276382,1.85484,-1.640803282
ORG,H4,Hay,B,2,113.272,114.7115,121.5555,104.6565,0.24379395,5.998444,19085.75112,32.74051741,-1.474788765,3.207085,-1.503974744
ORG,H4,Hay,C,2,114.9295,114.1115,121.7025,105.2025,0.16055025,6.7093435,26273.97146,9.766747672,-1.583312457,2.765278,-1.384087703
WNF,G1,Graze,A,1,290.5365,621.626,2200.2915,47.1635,2.15854445,3.09809625,34859.72874,7.01748168,1.660338514,12.2985248,2.772371011
WNF,G1,Graze,B,1,198.019,875.131,3005.9745,47.452,2.0874024,0.38012375,28983.5531,23.57478702,1.77554448,6.2887078,2.998908884
