ID,Farm,Field,Mgmt,Plot,Increment,betagluc,nagase,acidp,alkp
FRFG1A15,FRF,G1,Graze,A,15,65.48235871,53.45133056,1733.939173,5.425116454
FRFG1B15,FRF,G1,Graze,B,15,91.59335223,48.6111343,2521.398159,6.463831298
FRFG1C15,FRF,G1,Graze,C,15,88.29757387,9.355635211,2161.629793,6.328454982
ORGG1A15,ORG,G1,Graze,A,15,24.11576158,80.83531383,78.30717269,64.07047723
ORGG1B15,ORG,G1,Graze,B,15,18.04910422,61.67251962,73.36708429,49.47111144
ORGG1C15,ORG,G1,Graze,C,15,12.64798203,40.08066394,67.88261327,51.38761968
WNFG1A15,WNF,G1,Graze,A,15,42.11846046,197.7863306,66.42043522,4.965797918
WNFG1B15,WNF,G1,Graze,B,15,29.03703841,206.0147579,122.7558467,4.982297089
WNFG1C15,WNF,G1,Graze,C,15,15.7337656,207.4675936,69.47058003,4.766951189
FRFG2A15,FRF,G2,Graze,A,15,122.4997235,1.153419358,2578.499952,6.887549619
FRFG2B15,FRF,G2,Graze,B,15,165.636333,2.238840348,2829.893282,7.010091752
FRFG2C15,FRF,G2,Graze,C,15,110.9300364,21.07909475,2106.022336,6.791701085
ORGG2A15,ORG,G2,Graze,A,15,12.49563206,20.4372605,64.66192301,42.68396637
ORGG2B15,ORG,G2,Graze,B,15,29.70266214,15.45414093,56.96455826,35.10631227
ORGG2C15,ORG,G2,Graze,C,15,10.37811863,39.72785509,50.62468428,33.23478774
WNFG2A15,WNF,G2,Graze,A,15,19.26117774,66.24861077,64.91907649,4.999037251
WNFG2B15,WNF,G2,Graze,B,15,13.2473802,154.7022128,63.92660235,5.082807002
WNFG2C15,WNF,G2,Graze,C,15,28.83461703,260.0843538,111.9078791,5.190945714
FRFH3A15,FRF,H3,Hay,A,15,105.5641365,11.71745664,2234.03133,9.903061269
FRFH3B15,FRF,H3,Hay,B,15,87.58371724,6.421495265,1712.374104,6.093010423
FRFH3C15,FRF,H3,Hay,C,15,168.7575207,36.88427437,2786.288119,12.38994588
ORGH3A15,ORG,H3,Hay,A,15,15.63020278,48.2364472,79.76045026,51.27356732
ORGH3B15,ORG,H3,Hay,B,15,14.70468975,57.25435812,72.84300062,60.95579484
ORGH3C15,ORG,H3,Hay,C,15,16.5306902,57.79136627,75.84413868,51.46700755
WNFH3A15,WNF,H3,Hay,A,15,40.46443357,262.8892892,165.9926597,5.343112141
WNFH3B15,WNF,H3,Hay,B,15,24.53180761,142.6609391,69.37429317,5.103620063
WNFH3C15,WNF,H3,Hay,C,15,30.86649689,77.11781863,69.37009186,5.467628862
FRFH4A15,FRF,H4,Hay,A,15,95.54382154,18.52454768,1875.51038,5.660880799
FRFH4B15,FRF,H4,Hay,B,15,103.6905504,43.36765275,2240.16488,5.346646137
FRFH4C15,FRF,H4,Hay,C,15,106.6279035,13.65157864,1114.102707,5.292436763
ORGH4A15,ORG,H4,Hay,A,15,20.25232878,60.2364371,91.72185292,54.63558627
ORGH4B15,ORG,H4,Hay,B,15,18.29679493,57.51303177,89.10024961,48.36070085
ORGH4C15,ORG,H4,Hay,C,15,13.67423228,44.60624369,57.17680185,82.53760637
WNFH4A15,WNF,H4,Hay,A,15,15.67590317,247.8570581,73.78177876,5.457126308
WNFH4B15,WNF,H4,Hay,B,15,16.32952328,171.5825691,77.96917939,5.070060629
WNFH4C15,WNF,H4,Hay,C,15,27.80830412,274.9855802,122.8922902,5.16899164
