"farm","year","dates","site","reps","subp","t_air","t_5cm","t_10cm","moist","cflmod","cflslope","cflpval","cflr2","cflux","nflmod","nflslope","nflpval","nflr2","nflux","finco","finno","posno"
1,2016,141,1,1,1,18.4,23.5,16.3,23.5,"lmc8",24.2640678376923,0.008612914370073,0.999633947387192,239.88475956079,"lmn13",-6.9041534285715,0.0546886458715685,0.985277026943401,-0.0796226361435362,239.88475956079,-0.0796226361435362,NA
1,2016,147,1,1,1,28.9,27.1,20.8,22.63,"lmc9",37.40045983,0.0108554263477451,0.999418537879503,369.756644837827,"lmn10",7.85826149230765,0.00276593882667809,0.999962246939979,0.0802678486552609,369.756644837827,0.0802678486552609,0.0802678486552609
1,2016,155,1,1,1,24,23.7,21.4,17.2,"lmc7",28.79868799,0.00682171599026406,0.999770363776424,284.715917807309,"lmn10",6.10885055384611,0.0182385133068126,0.998358919831247,0.0673108409730734,284.715917807309,0.0673108409730734,0.0673108409730734
1,2016,161,1,1,1,13.8,16.5,16.1,22.63,"lmc11",18.56232121,0.0185358816920761,0.998304985100841,183.514899073679,"lmn10",0.429162284615338,0.0662862752311177,0.978395363959139,0.0044856377744228,183.514899073679,0.0044856377744228,0.0044856377744228
1,2016,169,1,1,1,19.9,19.6,17.1,14.9,"lmc6",13.3975733,0.00109332138648133,0.999994101181826,132.454033316543,"lmn9",0.20067067142853,0.111925351243854,0.938814656113262,0.002173054514164,132.454033316543,0.002173054514164,0.002173054514164
1,2016,175,1,1,1,21.1,19.1,16.7,10.37,"lmc9",7.39384124571427,0.0281725484447326,0.996085840683272,73.0986181428147,"lmn8",1.48890782307689,0.00603596392838892,0.999820216426892,0.0170346163276559,73.0986181428147,0.0170346163276559,0.0170346163276559
1,2016,182,1,1,1,20.9,20.8,19.5,9.27,"lmc13",12.03884726,0.0162729967578171,0.998693497530094,119.021097355654,"lmn8",1.57196292307691,0.0369213558807749,0.993280482992712,0.0171443538215105,119.021097355654,0.0171443538215105,0.0171443538215105
1,2016,188,1,1,1,23.8,20.6,20.6,5.97,"lmc7",6.32484988142857,0.0194610506180202,0.998131612171454,62.5301208030617,"lmn11",1.97962719999999,0.0897817892578634,0.960484716584491,0.0217294228158253,62.5301208030617,0.0217294228158253,0.0217294228158253
1,2016,197,1,1,1,24.7,24.9,23.5,9.67,"lmc2",13.5627131,0.0756000437027145,0.9719281267688,134.086674697284,"lmn11",-7.36264300000008,0.267948869922867,0.666131679274249,-0.080623900502329,134.086674697284,NA,NA
1,2016,203,1,1,1,16.8,17.3,18.2,8.23,"lmc13",9.55238158571428,0.00973604482802969,0.999532263759448,94.4388539980247,"lmn14",-1.86612678000004,0.154420958311257,0.884615384615393,-0.0209510832304793,94.4388539980247,NA,NA
1,2016,210,1,1,1,29,26.1,23.4,6.23,"lmc12",5.26250437285714,0.0280300989808507,0.996125297591592,52.0273271825185,"lmn13",1.61703707142855,0.0129804980561853,0.999168633965851,0.0166914028640065,52.0273271825185,0.0166914028640065,0.0166914028640065
1,2016,216,1,1,1,21.1,24.5,21.3,22.6,"lmc13",15.8260511185714,0.0152153341920242,0.998857779245576,156.462984392,"lmn12",6.80449348857141,0.00774523259181218,0.999703982592562,0.0748411336186817,156.462984392,0.0748411336186817,0.0748411336186817
1,2016,226,1,1,1,24.5,24.4,24.6,18.43,"lmc6",20.1013437,0.00429979238614691,0.999908765705402,198.730321419259,"lmn13",5.28454654857143,0.0016041798755349,0.999987300841078,0.0580931074823391,198.730321419259,0.0580931074823391,0.0580931074823391
1,2016,233,1,1,1,20.4,20.4,20.5,17.1,"lmc7",13.2091125957143,0.00515105677185884,0.999869065846428,130.590831687012,"lmn13",1.31503860142856,0.0409364110749959,0.991741700728415,0.0145735302511525,130.590831687012,0.0145735302511525,0.0145735302511525
1,2016,239,1,1,1,30.3,27.7,25.3,19.43,"lmc10",19.9972352938462,0.00624593218192966,0.999807491307771,197.701062016198,"lmn10",5.26562475692307,0.031897848249149,0.994983173746419,0.0575435305265395,197.701062016198,0.0575435305265395,0.0575435305265395
1,2016,246,1,1,1,19.6,19.9,18.4,13.53,"lmc7",11.9757664657143,0.0102962763218034,0.999476890917344,118.397454144988,"lmn8",7.65808274615384,0.00363617608039276,0.999934753857816,0.0819708824965918,118.397454144988,0.0819708824965918,0.0819708824965918
1,2016,253,1,1,1,29.7,24.5,22.4,12.47,"lmc7",26.9629158485714,0.000438092383636247,0.99999905288855,266.566703846123,"lmn13",2.07872482285713,0.0973963712848169,0.953552290249657,0.023107365839867,266.566703846123,0.023107365839867,0.023107365839867
1,2016,258,1,1,1,27.8,22,19.6,10.4,"lmc13",9.92340167285714,0.0107120684281346,0.999433792733626,98.1069143163457,"lmn14",-4.32448847000002,0.0828827776995147,0.966291207127456,-0.0479528222233538,98.1069143163457,-0.0479528222233538,NA
1,2016,266,1,1,1,14.4,15.7,16.6,18.07,"lmc13",16.6989704642857,0.00779858923712486,0.999699890241114,165.093031454321,"lmn11",2.93359490999998,0.0607830646015499,0.981823307670753,0.0336815559737506,165.093031454321,0.0336815559737506,0.0336815559737506
1,2016,274,1,1,1,16.8,14.4,14,17.43,"lmc7",11.9914086934286,0.0197885289615527,0.998068223425981,118.552099774044,"lmn4",11.383569592,0.00240800173202965,0.992784692512423,0.126567797188806,118.552099774044,0.126567797188806,0.126567797188806
1,2016,279,1,1,1,19.7,18.8,17.2,23.1,"lmc11",11.54700577,0.0228849663450703,0.99741665012793,114.158545933531,"lmn8",0.242879234615383,0.0158312350551238,0.99876345530198,0.00268588698922153,114.158545933531,0.00268588698922153,0.00268588698922153
1,2016,288,1,1,1,15.7,12.5,11.9,17.73,"lmc7",9.49220728514286,0.0129684724334597,0.999170173456985,93.8439456042272,"lmn9",0.720753928571404,0.033193288119178,0.99456778797939,0.00774567860215321,93.8439456042272,0.00774567860215321,0.00774567860215321
1,2016,293,1,1,1,22.4,15.6,14.2,24.43,"lmc14",11.07719049,0.00253731442771587,0.999968230086816,109.513754869037,"lmn6",2.09703380999999,0.00880788760652751,0.999617187978748,0.0245568001947748,109.513754869037,0.0245568001947748,0.0245568001947748
1,2016,301,1,1,1,1.8,3.7,5.7,19.03,"lmc8",3.05998949692308,0.114138409496638,0.936397376687751,30.2523406066173,"lmn13",0.516182188571415,0.0785818358767662,0.969681531023225,0.00638717709136226,30.2523406066173,0.00638717709136226,0.00638717709136226
1,2017,145,1,1,1,14.4,14.5,14.1,33.73,"lmc8",16.4788449361539,0.0310859319846412,0.995235115925208,162.91677808484,"lmn13",1.48286514285713,0.00439298869182267,0.999904767973259,0.0179019542082369,162.91677808484,0.0179019542082369,0.0179019542082369
1,2017,152,1,1,1,22.9,20.8,18.7,33.53,"lmc6",11.00068404,0.0173017215177302,0.998523132761723,108.757379990518,"lmn1",1.98602732259782e-17,0.181690113816209,0.372549019607843,2.28374524198091e-19,108.757379990518,NA,NA
