Farm,Unique ID,Field,Treatment,Field ID,Plot,Elevation,Core Segment Length,perN,perC,CN,pH,BD,POXc,moist,sand,ag2000 ,ag250,ag53,ag0,mwd,sls,cstock,nstock
FRF,FRFGraze1A,G1,Graze,1.0000,A,15,15,0.35,3.88,11.00,6.74,0.96,993.48,12.23,0.78,0.41,0.38,0.16,0.03,2.50,0.03,5591.02,508.47
FRF,FRFGraze1B,G1,Graze,1.0000,B,15,15,0.35,3.87,11.03,6.77,0.95,1291.24,8.96,0.85,0.50,0.33,0.11,0.03,2.90,0.02,5518.766078,500.20
FRF,FRFGraze1C,G1,Graze,1.0000,C,15,15,0.35,3.97,11.32,6.68,0.90,595.49,14.71,0.84,0.63,0.29,0.02,0.02,2.62,0.02,5363.05887,474.85
FRF,FRFGraze2A,G2,Graze,2.0000,A,15,15,0.28,2.94,10.33,6.52,1.06,450.65,13.54,0.84,0.43,0.42,0.11,0.02,1.38,0.02,4676.332782,452.66
FRF,FRFGraze2B,G2,Graze,2.0000,B,15,15,0.33,3.68,11.29,6.23,1.04,1311.49,17.47,0.84,0.12,0.65,0.17,0.03,1.99,0.02,5742.17,508.66
FRF,FRFGraze2C,G2,Graze,2.0000,C,15,15,0.27,2.74,10.16,6.21,1.02,977.08,16.41,0.83,0.28,0.52,0.15,0.03,1.88,0.02,4190.13,413.67
FRF,FRFGraze1A,G1,Graze,1.0000,A,30,15,0.29,3.24,11.21,7,1.32,786.58,13.51,0.88,0.31,0.44,0.14,0.03,,,6412.255344,572.237226
FRF,FRFGraze1B,G1,Graze,1.0000,B,30,15,0.26,3.00,11.71,6.75,1.28,726.26,7.99,0.89,,,,,,,5769.38496,494.062848
FRF,FRFGraze1C,G1,Graze,1.0000,C,30,15,0.28,3.30,11.63,6.64,1.40,786.58,16.42,0.90,,,,,,,6927.3414,596.15178
FRF,FRFGraze2A,G2,Graze,2.0000,A,30,15,0.12,1.36,11.54,6.76,1.35,464.94,8.02,0.85,,,,,,,2751.603413,238.953645
FRF,FRFGraze2B,G2,Graze,2.0000,B,30,15,0.20,2.26,11.32,6.88,1.24,573.86,12.58,0.91,,,,,,,4194.841074,371.059584
FRF,FRFGraze2C,G2,Graze,2.0000,C,30,15,0.13,1.40,11.22,6.53,1.36,771.47,13.65,0.87,,,,,,,2865.95112,256.230936
FRF,FRFGraze1A,G1,Graze,1.0000,A,50,20,0.16,2.42,16.00,6.57,1.32,463.41,15.70,0.79,,,,,,,6388.208904,431.910336
FRF,FRFGraze1B,G1,Graze,1.0000,B,50,20,0.10,1.78,19.10,6.65,1.22,589.54,9.57,0.77,,,,,,,4351.822716,238.311384
FRF,FRFGraze1C,G1,Graze,1.0000,C,50,20,0.21,3.93,18.65,6.68,1.32,505.19,20.57,0.79,,,,,,,10387.31734,553.325784
FRF,FRFGraze2A,G2,Graze,2.0000,A,50,20,0.07,1.26,18.24,6.78,1.73,380.57,7.90,0.74,,,,,,,4370.325654,231.639042
FRF,FRFGraze2B,G2,Graze,2.0000,B,50,20,0.24,2.42,10.21,6.58,1.27,436.10,16.30,0.82,,,,,,,6140.01185,599.366848
FRF,FRFGraze2C,G2,Graze,2.0000,C,50,20,0.10,1.59,14.91,6.53,1.38,318.19,12.94,0.77,,,,,,,4395.372036,283.74318
